t,front_dist,vcmd
34.85,2.946,0.406
34.9,2.948,0.419
34.95,2.941,0.433
35.0,2.939,0.442
35.05,2.951,0.451
35.1,2.941,0.458
35.15,2.934,0.465
35.2,2.942,0.253
35.25,2.943,0.269
35.3,2.932,0.301
35.35,2.937,0.332
35.4,2.941,0.36
35.45,2.937,0.381
35.5,2.945,0.402
35.55,2.946,0.419
35.6,2.938,0.433
35.65,2.941,0.443
35.7,2.933,0.453
35.75,2.929,0.462
35.8,2.943,0.468
35.85,2.943,0.495
35.9,2.937,0.495
35.95,2.944,0.496
36.0,2.945,0.497
36.05,2.944,0.497
36.1,2.945,0.498
36.15,2.947,0.498
36.2,2.936,0.498
36.25,2.946,0.498
36.3,2.94,0.499
36.35,2.939,0.499
36.4,2.935,0.499
36.45,2.945,0.499
36.5,2.943,0.449
36.55,2.949,0.456
36.6,2.943,0.463
36.65,2.942,0.469
36.7,2.944,0.474
36.75,2.93,0.477
36.8,2.949,0.481
36.85,2.939,0.484
36.9,2.943,0.486
36.95,2.938,0.488
37.0,2.944,0.489
37.05,2.944,0.49
37.1,2.94,0.492
37.15,2.945,0.275
37.2,2.941,0.305
37.25,2.947,0.335
37.3,2.947,0.367
37.35,2.935,0.39
37.4,2.942,0.407
37.45,2.943,0.421
37.5,1.354,0.434
37.55,1.293,0.447
37.6,1.209,0.456
37.65,1.17,0.463
37.7,1.133,0.469
37.75,1.065,0.475
37.8,1.033,0.482
37.85,1.01,0.484
37.9,0.985,0.486
37.95,0.96,0.488
38.0,0.924,0.49
38.05,0.903,0.492
38.1,0.886,0.493
38.15,0.866,0.494
38.2,0.845,0.495
38.25,0.81,0.495
38.3,0.791,0.496
38.35,0.77,0.497
38.4,0.755,0.497
38.45,0.743,0.498
38.5,0.729,0.498
38.55,0.717,0.499
38.6,0.698,0.499
38.65,0.687,0.499
38.7,0.683,0.499
38.75,0.675,0.499
38.8,0.672,0.499
38.85,0.666,0.499
38.9,0.667,0.499
38.95,0.663,0.5
39.0,0.667,0.5
39.05,0.665,0.462
39.1,0.668,0.467
39.15,0.67,0.472
39.2,0.669,0.478
39.25,0.667,0.481
39.3,0.662,0.484
39.35,0.678,0.487
39.4,0.723,0.489
39.45,2.939,0.49
39.5,2.943,0.492
39.55,2.944,0.493
39.6,2.946,0.494
39.65,2.941,0.495
39.7,2.928,0.499
39.75,2.943,0.499
39.8,2.949,0.5
39.85,2.943,0.5
39.9,2.938,0.5
39.95,2.946,0.5
40.0,2.937,0.5
40.05,2.933,0.5
40.1,2.934,0.5
40.15,2.943,0.5
40.2,2.944,0.5
40.25,2.94,0.5
40.3,2.946,0.5
40.35,2.936,0.492
40.4,2.937,0.493
40.45,2.934,0.494
40.5,2.944,0.495
40.55,2.935,0.496
40.6,2.947,0.496
40.65,2.941,0.497
40.7,2.93,0.497
40.75,2.945,0.498
40.8,2.95,0.498
40.85,2.938,0.498
40.9,2.938,0.498
40.95,2.94,0.455
41.0,2.946,0.463
41.05,2.928,0.469
41.1,2.936,0.475
41.15,2.943,0.479
41.2,2.938,0.483
41.25,2.938,0.486
41.3,2.952,0.488
41.35,2.933,0.49
41.4,2.946,0.492
41.45,2.943,0.493
41.5,2.95,0.494
41.55,2.944,0.491
41.6,2.945,0.493
41.65,2.944,0.494
41.7,2.947,0.495
41.75,2.941,0.496
41.8,2.948,0.496
41.85,2.947,0.497
41.9,2.931,0.497
41.95,2.951,0.498
42.0,2.938,0.498
42.05,2.94,0.498
42.1,2.947,0.498
42.15,2.938,0.498
42.2,2.941,0.489
42.25,2.945,0.49
42.3,2.942,0.491
42.35,2.947,0.493
42.4,2.949,0.494
42.45,2.948,0.495
42.5,2.947,0.496
42.55,2.947,0.496
42.6,2.946,0.497
42.65,2.946,0.497
42.7,2.935,0.497
42.75,2.944,0.498
42.8,2.946,0.498
42.85,2.942,0.486
42.9,2.944,0.488
42.95,2.951,0.489
43.0,2.94,0.491
43.05,2.942,0.492
43.1,2.949,0.494
43.15,2.946,0.495
43.2,2.947,0.496
43.25,2.941,0.496
43.3,2.949,0.497
43.35,2.94,0.497
43.4,2.936,0.497
43.45,2.943,0.498
43.5,2.948,0.432
43.55,2.934,0.439
43.6,2.933,0.449
43.65,2.939,0.458
43.7,2.945,0.464
43.75,2.935,0.47
43.8,2.942,0.473
43.85,2.942,0.478
43.9,2.941,0.481
43.95,2.948,0.484
44.0,2.942,0.486
44.05,2.948,0.487
44.1,2.94,0.498
44.15,2.947,0.499
44.2,2.944,0.499
44.25,2.941,0.499
44.3,2.946,0.499
44.35,2.946,0.499
44.4,2.936,0.499
44.45,2.939,0.5
44.5,2.948,0.5
44.55,2.949,0.5
44.6,2.95,0.5
44.65,2.942,0.5
44.7,2.943,0.5
44.75,2.947,0.5
44.8,2.941,0.5
44.85,2.936,0.5
44.9,2.939,0.5
44.95,2.939,0.5
45.0,2.943,0.5
45.05,2.941,0.5
45.1,2.943,0.5
45.15,2.943,0.5
45.2,2.941,0.5
45.25,2.941,0.5
45.3,2.942,0.5
45.35,2.941,0.431
45.4,2.943,0.437
45.45,2.946,0.446
45.5,2.95,0.454
45.55,2.95,0.462
45.6,2.948,0.466
45.65,2.947,0.471
45.7,2.941,0.474
45.75,1.3,0.478
45.8,1.207,0.481
45.85,1.172,0.483
45.9,1.137,0.485
45.95,1.071,0.44
46.0,1.039,0.448
46.05,1.007,0.458
46.1,0.988,0.465
46.15,0.969,0.47
46.2,0.948,0.475
46.25,0.908,0.479
46.3,0.888,0.483
46.35,0.868,0.485
46.4,0.844,0.487
46.45,0.829,0.489
46.5,0.809,0.491
46.55,0.777,0.492
46.6,0.757,0.498
46.65,0.745,0.498
46.7,0.727,0.499
46.75,0.719,0.499
46.8,0.697,0.499
46.85,0.686,0.499
46.9,0.683,0.499
46.95,0.676,0.499
47.0,0.674,0.499
47.05,0.669,0.5
47.1,0.667,0.5
47.15,0.665,0.5
47.2,0.664,0.5
47.25,0.667,0.498
47.3,0.669,0.499
47.35,0.677,0.499
47.4,0.67,0.499
47.45,0.665,0.499
47.5,0.665,0.499
47.55,0.661,0.499
47.6,0.666,0.5
47.65,2.941,0.5
47.7,2.941,0.5
47.75,2.942,0.5
47.8,2.947,0.5
47.85,2.945,0.5
47.9,2.949,0.441
47.95,2.936,0.448
48.0,2.937,0.456
48.05,2.937,0.463
48.1,2.942,0.468
48.15,2.947,0.473
48.2,2.944,0.477
48.25,2.942,0.481
48.3,2.949,0.484
48.35,2.947,0.485
48.4,2.941,0.487
48.45,2.941,0.489
48.5,2.948,0.445
48.55,2.943,0.453
48.6,2.945,0.46
48.65,2.942,0.465
48.7,2.946,0.471
48.75,2.946,0.475
48.8,2.934,0.479
48.85,2.942,0.482
48.9,2.942,0.484
48.95,2.945,0.487
49.0,2.948,0.488
49.05,2.946,0.49
49.1,2.946,0.491
49.15,2.942,0.495
49.2,2.952,0.495
49.25,2.935,0.496
49.3,2.943,0.497
49.35,2.943,0.497
49.4,2.937,0.498
49.45,2.945,0.498
49.5,2.937,0.498
49.55,2.949,0.499
49.6,2.944,0.499
49.65,2.942,0.499
49.7,2.944,0.499
49.75,2.947,0.499
49.8,2.95,0.062
49.85,2.951,0.096
49.9,2.953,0.138
49.95,2.945,0.178
50.0,2.947,0.22
50.05,2.95,0.255
50.1,2.937,0.282
50.15,2.942,0.313
50.2,2.944,0.341
50.25,2.94,0.37
50.3,2.951,0.394
50.35,2.944,0.409
50.4,2.945,0.407
50.45,2.943,0.42
50.5,2.946,0.435
50.55,2.94,0.446
50.6,2.948,0.455
50.65,2.948,0.463
50.7,2.944,0.468
50.75,2.948,0.472
50.8,2.942,0.476
50.85,2.947,0.479
50.9,2.944,0.483
50.95,2.941,0.485
51.0,2.934,0.487
51.05,2.943,0.498
51.1,2.946,0.498
51.15,2.943,0.498
51.2,2.949,0.499
51.25,2.943,0.499
51.3,2.945,0.499
51.35,2.947,0.499
51.4,2.943,0.499
51.45,2.943,0.499
51.5,2.947,0.5
51.55,2.935,0.5
51.6,2.942,0.5
51.65,2.943,0.5
51.7,2.945,0.5
51.75,2.949,0.5
51.8,2.942,0.5
